ID,0,1,2,3,4,5,C,X,Account Age,is_high_risk,cluster,Late 30 Days,Late 60 Days,Late 90 Days,Late 120 Days,Late 150 Days,Late More Than 150 Days,Completed Credit,No Credit,%hr
5008806,7,0,0,0,0,0,7,16,30,0,2,23.333333333333332,0.0,0.0,0.0,0.0,0.0,23.333333333333332,53.333333333333336,0.0
5008810,6,0,0,0,0,0,15,6,27,0,0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,55.55555555555556,22.22222222222222,0.0
5008811,6,0,0,0,0,0,27,6,39,0,0,15.384615384615385,0.0,0.0,0.0,0.0,0.0,69.23076923076923,15.384615384615385,0.0
5008825,25,1,0,0,0,0,0,0,26,0,1,96.15384615384616,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5008826,5,7,0,0,0,0,18,0,30,0,0,16.666666666666664,23.333333333333332,0.0,0.0,0.0,0.0,60.0,0.0,0.0
5008827,2,8,2,1,1,5,19,0,38,1,0,5.263157894736842,21.052631578947366,5.263157894736842,2.631578947368421,2.631578947368421,13.157894736842104,50.0,0.0,2.631578947368421
5008830,13,2,0,0,0,0,16,1,32,0,0,40.625,6.25,0.0,0.0,0.0,0.0,50.0,3.125,0.0
5008831,13,2,0,0,0,0,4,1,20,0,1,65.0,10.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0
5008832,13,2,0,0,0,0,19,1,35,0,0,37.142857142857146,5.714285714285714,0.0,0.0,0.0,0.0,54.285714285714285,2.857142857142857,0.0
5008838,29,0,0,0,0,0,0,2,31,0,1,93.54838709677419,0.0,0.0,0.0,0.0,0.0,0.0,6.451612903225806,0.0
5008840,10,0,0,0,0,0,46,0,56,0,0,17.857142857142858,0.0,0.0,0.0,0.0,0.0,82.14285714285714,0.0,0.0
5008843,10,0,0,0,0,0,20,0,30,0,0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0
5008844,26,0,0,0,0,0,7,0,33,0,1,78.78787878787878,0.0,0.0,0.0,0.0,0.0,21.21212121212121,0.0,0.0
5008847,26,0,0,0,0,0,7,0,33,0,1,78.78787878787878,0.0,0.0,0.0,0.0,0.0,21.21212121212121,0.0,0.0
